
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:48 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 21 2026,SPXW260821C06800000,341.9,25,335.4,336.9,2,0.1761,0.5734,0.0005,47,6800.00,SPXW260821P06800000,241.5,-27.45,241.2,242.6,5,0.176,-0.4273,0.0005,7
Fri Aug 21 2026,SPX260821C06810000,320.78,11.53,327,329.3,8,0.1745,0.5684,0.0006,20,6810.00,SPX260821P06810000,339.52,0,242.7,244.9,0,0.1745,-0.4324,0.0006,98
Fri Aug 21 2026,SPX260821C06820000,314.92,12.17,320.3,322.6,8,0.1736,0.563,0.0006,19,6820.00,SPX260821P06820000,272.65,0,245.9,248,0,0.1736,-0.4377,0.0006,55
Fri Aug 21 2026,SPX260821C06825000,325.86,26.31,316.9,319.3,7,0.1731,0.5604,0.0006,275,6825.00,SPX260821P06825000,246.24,-30.31,247.5,249.6,30,0.1731,-0.4404,0.0006,1021
Fri Aug 21 2026,SPXW260821C06825000,225.8,0,318.6,320,0,0.1737,0.5602,0.0006,40,6825.00,SPXW260821P06825000,508.6,0,249,250.5,0,0.1736,-0.4405,0.0006,6
Fri Aug 21 2026,SPX260821C06830000,295.12,0,313.6,316,0,0.1726,0.5576,0.0006,18,6830.00,SPX260821P06830000,360.57,0,249,251.2,0,0.1726,-0.4431,0.0006,121
Mon Aug 31 2026,SPXW260831C06800000,357,26.1,349.5,351.2,13,0.1768,0.575,0.0005,129,6800.00,SPXW260831P06800000,248.32,-29.78,250.4,252,5,0.1768,-0.4258,0.0005,218
Mon Aug 31 2026,SPXW260831C06810000,335.92,11.52,342.8,344.4,4,0.1759,0.5699,0.0005,35,6810.00,SPXW260831P06810000,410.19,0,253.5,255.1,0,0.1759,-0.4308,0.0005,103
Mon Aug 31 2026,SPXW260831C06820000,330.27,12.32,336.1,337.7,4,0.1749,0.5648,0.0005,27,6820.00,SPXW260831P06820000,511.2,0,256.6,258.3,0,0.1749,-0.4359,0.0005,17
Mon Aug 31 2026,SPXW260831C06825000,341.04,26.29,332.7,334.4,2,0.1745,0.5622,0.0005,7,6825.00,SPXW260831P06825000,256.4,-30.05,258.2,259.9,3,0.1745,-0.4385,0.0005,24
Mon Aug 31 2026,SPXW260831C06830000,330.32,18.82,329.4,331.1,1,0.174,0.5597,0.0005,71,6830.00,SPXW260831P06830000,516,0,259.8,261.5,0,0.174,-0.441,0.0005,23
Mon Aug 31 2026,SPXW260831C06840000,244.5,0,322.7,324.4,0,0.173,0.5545,0.0005,2,6840.00,SPXW260831P06840000,326.2,0,263,264.7,0,0.1731,-0.4462,0.0005,12
