
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:49 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 18 2026,SPX261218C06750000,545.5,29.2,536.9,539.8,16,0.1928,0.6092,0.0004,5612,6750.00,SPX261218P06750000,329.84,-24.46,328.6,330.7,26,0.1928,-0.392,0.0004,5345
Fri Dec 18 2026,SPX261218C06775000,505.27,5.27,520,522.9,75,0.1911,0.6007,0.0004,1600,6775.00,SPX261218P06775000,334.1,-28.05,335.9,338.2,87,0.191,-0.4006,0.0004,1521
Fri Dec 18 2026,SPX261218C06800000,507.84,24.34,503.3,506.2,236,0.1894,0.592,0.0004,21590,6800.00,SPX261218P06800000,341.4,1.91,343.5,345.9,514,0.1894,-0.4092,0.0004,15415
Fri Dec 18 2026,SPX261218C06825000,492.4,24.95,486.7,489.6,4,0.1876,0.5832,0.0004,4293,6825.00,SPX261218P06825000,349.3,-29.2,351.3,353.6,44,0.1876,-0.4181,0.0004,2105
Fri Dec 18 2026,SPX261218C06850000,474.96,23.41,470.3,473.2,1455,0.1859,0.5742,0.0004,17893,6850.00,SPX261218P06850000,357.54,-29.11,359.2,361.5,1818,0.1859,-0.4271,0.0004,13535
Fri Dec 18 2026,SPX261218C06875000,431.35,0,454.1,457,0,0.1841,0.565,0.0004,5666,6875.00,SPX261218P06875000,364.8,-30.3,367.2,369.7,4,0.1841,-0.4363,0.0004,1653
Thu Dec 31 2026,SPXW261231C06810000,345.4,0,513.3,515.6,0,0.189,0.5913,0.0004,106,6810.00,SPXW261231P06810000,476.41,0,353.7,355.9,0,0.189,-0.4101,0.0004,32
Thu Dec 31 2026,SPXW261231C06815000,407.9,0,510,512.3,0,0.1887,0.5896,0.0004,52,6815.00,SPXW261231P06815000,388.98,0,355.3,357.5,0,0.1887,-0.4118,0.0004,2
Thu Dec 31 2026,SPXW261231C06820000,508.2,21.95,506.7,509,11,0.1884,0.5879,0.0004,85,6820.00,SPXW261231P06820000,604.28,0,356.9,359,0,0.1883,-0.4135,0.0004,20
Thu Dec 31 2026,SPXW261231C06825000,511.94,28.89,503.4,505.7,2,0.188,0.5862,0.0004,35,6825.00,SPXW261231P06825000,355.93,-28.62,358.4,360.6,1,0.188,-0.4153,0.0004,58
Thu Dec 31 2026,SPXW261231C06830000,401.86,0,500.1,502.4,0,0.1877,0.5844,0.0004,54,6830.00,SPXW261231P06830000,470.62,0,360,362.2,0,0.1877,-0.417,0.0004,26
Thu Dec 31 2026,SPXW261231C06835000,337.45,0,496.9,499.1,0,0.1873,0.5827,0.0004,33,6835.00,SPXW261231P06835000,396.87,0,361.5,363.7,0,0.1873,-0.4188,0.0004,9
