
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:32 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 05 2026,SPXW260605C02800000,0,0,4016.3,4040.3,0,0.9231,0.999,0,0,2800.00,SPXW260605P02800000,0,0,0.5,0.8,0,0.781,-0.0012,0,0
Fri Jun 05 2026,SPXW260605C03000000,0,0,3817.7,3841.7,0,0.8612,0.9987,0,0,3000.00,SPXW260605P03000000,1.2,0,0.7,0.95,0,0.7395,-0.0015,0,2
Fri Jun 05 2026,SPXW260605C03200000,0,0,3619.1,3643.1,0,0.8027,0.9982,0,0,3200.00,SPXW260605P03200000,1.2,-0.35,0.95,1.2,2,0.7022,-0.002,0,2
Fri Jun 05 2026,SPXW260605C03400000,0,0,3420.7,3444.7,0,0.7519,0.9977,0,0,3400.00,SPXW260605P03400000,1.94,0,1.25,1.55,0,0.6668,-0.0025,0,2
Fri Jun 05 2026,SPXW260605C03600000,0,0,3222.3,3246.3,0,0.7028,0.9969,0,0,3600.00,SPXW260605P03600000,2,-0.625,1.65,2,1,0.6332,-0.0033,0,3
Fri Jun 05 2026,SPXW260605C03800000,0,0,3028,3039.6,0,0.611,0.9959,0,0,3800.00,SPXW260605P03800000,2.95,0,2.2,2.5,0,0.6004,-0.0043,0,24
Fri Jun 05 2026,SPXW260605C04000000,0,0,2829.9,2841.2,0,0.5738,0.9946,0,0,4000.00,SPXW260605P04000000,3.5,-0.35,2.7,3.1,19,0.5659,-0.0056,0,19
Fri Jun 05 2026,SPXW260605C04200000,0,0,2631.1,2641.9,0,0.5205,0.9929,0,0,4200.00,SPXW260605P04200000,3.74,-0.91,3.3,3.7,60,0.531,-0.0073,0,60
Fri Jun 05 2026,SPXW260605C04400000,0,0,2433.3,2444.8,0,0.498,0.9908,0,0,4400.00,SPXW260605P04400000,4.47,-1.18,4.1,4.5,509,0.4981,-0.0094,0,509
Fri Jun 05 2026,SPXW260605C04600000,0,0,2235.6,2246.9,0,0.4656,0.9882,0,0,4600.00,SPXW260605P04600000,5.52,-1.33,5,5.5,106,0.4655,-0.0121,0,106
Fri Jun 05 2026,SPXW260605C04800000,0,0,2038.4,2048.1,0,0.4295,0.9848,0,0,4800.00,SPXW260605P04800000,6.58,-1.72,6.2,6.6,245,0.4332,-0.0154,0,271
Fri Jun 05 2026,SPXW260605C05000000,0,0,1841.2,1850.8,0,0.3993,0.9804,0,0,5000.00,SPXW260605P05000000,8.1,-2,7.7,8.1,1,0.4021,-0.0198,0,12
Fri Jun 05 2026,SPXW260605C05100000,0,0,1742.8,1752.2,0,0.3841,0.9778,0,0,5100.00,SPXW260605P05100000,11.77,0,8.6,9,0,0.3868,-0.0224,0,2
