
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:49 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 19 2027,SPX270319C06750000,648.2,26.75,642.9,647,181,0.1962,0.6211,0.0003,1319,6750.00,SPX270319P06750000,379.7,-25.7,381.1,384.1,34,0.1965,-0.3819,0.0003,1340
Fri Mar 19 2027,SPX270319C06775000,631.9,26.65,626.5,630.4,9,0.1948,0.6139,0.0003,1074,6775.00,SPX270319P06775000,488,0,388.6,391.7,0,0.1951,-0.389,0.0003,154
Fri Mar 19 2027,SPX270319C06800000,599.77,10.77,610,613.9,740,0.1934,0.6067,0.0003,3663,6800.00,SPX270319P06800000,394.05,-27.1,396.1,399.1,335,0.1936,-0.3962,0.0003,2968
Fri Mar 19 2027,SPX270319C06825000,597.69,24.59,593.7,597.7,64,0.192,0.5993,0.0003,1066,6825.00,SPX270319P06825000,402.8,-26.2,403.9,407.1,1,0.1922,-0.4036,0.0003,1070
Fri Mar 19 2027,SPX270319C06850000,560.92,0,577.5,581.4,0,0.1905,0.5919,0.0003,2682,6850.00,SPX270319P06850000,410.1,-27.3,411.6,414.7,5,0.1907,-0.411,0.0003,1327
Fri Mar 19 2027,SPX270319C06875000,541.7,0,561.5,565.4,0,0.1891,0.5843,0.0003,373,6875.00,SPX270319P06875000,639.17,0,419.6,422.9,0,0.1892,-0.4186,0.0003,305
Wed Mar 31 2027,SPXW270331C06810000,501.1,0,616.2,618.6,0,0.1929,0.6053,0.0003,1,6810.00,SPXW270331P06810000,0,0,404.8,407.4,0,0.1929,-0.3977,0.0003,0
Wed Mar 31 2027,SPXW270331C06815000,0,0,612.9,615.3,0,0.1926,0.6039,0.0003,0,6815.00,SPXW270331P06815000,0,0,406.3,408.7,0,0.1926,-0.3992,0.0003,0
Wed Mar 31 2027,SPXW270331C06820000,611.09,23.64,609.6,612.1,1,0.1923,0.6024,0.0003,7,6820.00,SPXW270331P06820000,409.6,-22.75,407.9,410.5,1,0.1924,-0.4006,0.0003,1
Wed Mar 31 2027,SPXW270331C06825000,615.33,31.03,606.3,608.8,10,0.192,0.601,0.0003,121,6825.00,SPXW270331P06825000,0,0,409.4,411.8,0,0.192,-0.4021,0.0003,0
Wed Mar 31 2027,SPXW270331C06830000,608.36,27.26,603.1,605.6,1,0.1917,0.5995,0.0003,41,6830.00,SPXW270331P06830000,0,0,411,413.4,0,0.1917,-0.4035,0.0003,0
Wed Mar 31 2027,SPXW270331C06835000,0,0,599.9,602.3,0,0.1914,0.5981,0.0003,0,6835.00,SPXW270331P06835000,0,0,412.5,414.9,0,0.1914,-0.405,0.0003,0
