
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:48 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 18 2026,SPX260918C06800000,383.77,26.27,376.1,378.5,779,0.1793,0.5777,0.0005,8181,6800.00,SPX260918P06800000,264.73,-30.72,267.9,269.8,877,0.1794,-0.4231,0.0005,11816
Fri Sep 18 2026,SPX260918C06810000,364.1,13,369.4,371.7,7,0.1784,0.573,0.0005,66,6810.00,SPX260918P06810000,271,-28.15,270.7,272.9,2,0.1785,-0.4277,0.0005,4
Fri Sep 18 2026,SPX260918C06820000,348.2,0,362.7,365,0,0.1776,0.5683,0.0005,54,6820.00,SPX260918P06820000,274.3,-28.2,273.9,276,5,0.1776,-0.4325,0.0005,5
Fri Sep 18 2026,SPX260918C06825000,365,23.45,359.4,361.7,12,0.1771,0.5659,0.0005,927,6825.00,SPX260918P06825000,275,-29.25,275.5,277.6,42,0.1772,-0.4348,0.0005,2902
Fri Sep 18 2026,SPX260918C06830000,209.3,0,356,358.4,0,0.1767,0.5635,0.0005,9,6830.00,SPX260918P06830000,274.7,-31.15,277,279.2,15,0.1767,-0.4372,0.0005,16
Fri Sep 18 2026,SPX260918C06840000,237.11,0,349.4,351.7,0,0.1758,0.5587,0.0005,20,6840.00,SPX260918P06840000,305.3,-4,280.3,282.4,1,0.1758,-0.4421,0.0005,1
Wed Sep 30 2026,SPXW260930C06810000,287.88,0,386.8,388.7,0,0.1797,0.5748,0.0005,6,6810.00,SPXW260930P06810000,419.9,0,282.2,283.8,0,0.1797,-0.4259,0.0005,5
Wed Sep 30 2026,SPXW260930C06815000,295,0,383.5,385.3,0,0.1793,0.5726,0.0005,7,6815.00,SPXW260930P06815000,404.1,0,283.7,285.3,0,0.1793,-0.4282,0.0005,34
Wed Sep 30 2026,SPXW260930C06820000,359.55,0,380.1,382,0,0.1789,0.5703,0.0005,14,6820.00,SPXW260930P06820000,321.67,0,285.3,286.9,0,0.1789,-0.4304,0.0005,12
Wed Sep 30 2026,SPXW260930C06825000,278.51,0,376.8,378.6,0,0.1784,0.568,0.0005,74,6825.00,SPXW260930P06825000,282.77,-32.03,286.7,288.5,1,0.1784,-0.4327,0.0005,328
Wed Sep 30 2026,SPXW260930C06830000,351.73,0,373.5,375.3,0,0.178,0.5657,0.0005,61,6830.00,SPXW260930P06830000,284.27,-32.08,288.4,290.1,1,0.178,-0.435,0.0005,26
Wed Sep 30 2026,SPXW260930C06835000,372.4,0,370.1,372,0,0.1776,0.5634,0.0005,21,6835.00,SPXW260930P06835000,293.07,-25.03,290,291.7,5,0.1776,-0.4373,0.0005,19
